method,wrong_contract_false_trigger_rate,indirect_end_to_end_success_strict,indirect_action_completion,false_trigger_rate_including_contract_swap,false_trigger_rate_excluding_contract_swap,conflict_detection_accuracy,conflict_safe_action_accuracy,target_action_completion_rate,irrelevant_action_completion_rate,end_to_end_success_strict,end_to_end_success_behavioral,near_miss_false_trigger_rate,wrong_scope_false_trigger_rate,paraphrase_consistency,naturalistic_success,scheduling_family_success,contract_shuffle_drop
PACT_intent_plus_state_checker,0.09615384615384616,0.8484848484848485,0.8560606060606061,0.046153846153846156,0.03365384615384615,0.6,0.85,0.8545454545454545,0.06028368794326241,0.8903846153846153,0.9134615384615384,0.03076923076923077,0.038461538461538464,0.07499999999999996,0.65,0.5151515151515151,
PACT_intent_plus_state_family_compiler,0.09615384615384616,0.9015151515151515,0.9090909090909091,0.046153846153846156,0.03365384615384615,0.6,0.925,0.9136363636363637,0.06028368794326241,0.9115384615384615,0.9384615384615385,0.03076923076923077,0.038461538461538464,0.047222222222222276,0.675,0.8484848484848485,
LearnedPAM,0.0,0.0,0.007575757575757576,0.06153846153846154,0.07692307692307693,0.275,0.225,0.045454545454545456,0.042606516290726815,0.5634615384615385,0.5634615384615385,0.023076923076923078,0.16666666666666666,-0.022222222222222143,0.525,0.5454545454545454,
LearnedPAM_plus_checker,0.0,0.3181818181818182,0.32575757575757575,0.06153846153846154,0.07692307692307693,0.275,0.4,0.3409090909090909,0.16541353383458646,0.675,0.6884615384615385,0.023076923076923078,0.16666666666666666,0.008333333333333304,0.65,0.5454545454545454,
LearnedPAM_plus_family_compiler,0.0,0.3560606060606061,0.36363636363636365,0.06153846153846154,0.07692307692307693,0.275,0.475,0.39090909090909093,0.16541353383458646,0.6923076923076923,0.7096153846153846,0.023076923076923078,0.16666666666666666,-0.01388888888888884,0.675,0.8181818181818182,
ContractOnlyClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
QueryPlusFamilyClassifier,0.0,0.3484848484848485,0.3560606060606061,0.011538461538461539,0.014423076923076924,0.6,0.8,0.4409090909090909,0.007832898172323759,0.7403846153846154,0.7557692307692307,0.007692307692307693,0.02564102564102564,-0.005555555555555647,0.775,0.8484848484848485,
QueryPlusContractClassifier,0.0,0.0,0.0,0.06153846153846154,0.07692307692307693,0.275,0.0,0.0,0.04,0.5461538461538461,0.5461538461538461,0.023076923076923078,0.16666666666666666,0.0,0.5,0.5454545454545454,
QueryPlusWrongContractOnly,0.0,0.32575757575757575,0.32575757575757575,0.06153846153846154,0.07692307692307693,0.0,0.375,0.33636363636363636,0.165,0.6596153846153846,0.6884615384615385,0.023076923076923078,0.16666666666666666,0.02777777777777779,0.625,0.5454545454545454,
PACT_S_null_only,0.0,0.3484848484848485,0.3560606060606061,0.03076923076923077,0.038461538461538464,0.275,0.475,0.38181818181818183,0.041666666666666664,0.7038461538461539,0.7211538461538461,0.038461538461538464,0.038461538461538464,0.033333333333333326,0.65,0.8181818181818182,
PACT_S_null_margin,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_second_margin,0.0,0.3484848484848485,0.3560606060606061,0.03076923076923077,0.038461538461538464,0.275,0.475,0.38181818181818183,0.041666666666666664,0.7038461538461539,0.7211538461538461,0.038461538461538464,0.038461538461538464,0.033333333333333326,0.65,0.8181818181818182,
PACT_S_margins,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_broadness_penalty,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_zscore_calibration,0.0,0.3787878787878788,0.38636363636363635,0.36538461538461536,0.4567307692307692,0.275,0.75,0.4590909090909091,0.3785900783289817,0.5480769230769231,0.5865384615384616,0.2923076923076923,0.7307692307692307,-0.10277777777777775,0.5,0.6666666666666666,
PACT_S_pairwise_ranker,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_full,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_no_NULL,1.0,0.6060606060606061,0.6136363636363636,1.0,1.0,0.275,0.925,0.75,0.984375,0.3403846153846154,0.3923076923076923,1.0,1.0,-0.125,0.3,0.45454545454545453,
PACT_S_family_only,0.0,0.0,0.007575757575757576,0.0,0.0,0.275,0.25,0.05,0.002036659877800407,0.5961538461538461,0.5961538461538461,0.0,0.0,0.008333333333333304,0.625,0.6060606060606061,
PACT_S_contract_text_masked,0.0,0.0,0.007575757575757576,0.0,0.0,0.275,0.25,0.05,0.002036659877800407,0.5961538461538461,0.5961538461538461,0.0,0.0,0.008333333333333304,0.625,0.6060606060606061,
PACT_S_family_masked,0.1346153846153846,0.20454545454545456,0.20454545454545456,0.038461538461538464,0.014423076923076924,0.225,0.775,0.35,0.043795620437956206,0.6634615384615384,0.7057692307692308,0.015384615384615385,0.01282051282051282,0.019444444444444486,0.6,0.5757575757575758,
PACT_S_multi_select_top2,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_S_margin_abstain,0.0,0.29545454545454547,0.30303030303030304,0.007692307692307693,0.009615384615384616,0.275,0.45,0.32727272727272727,0.023809523809523808,0.6942307692307692,0.7096153846153846,0.007692307692307693,0.01282051282051282,0.05833333333333324,0.75,0.7878787878787878,
PACT_no_guard,0.34615384615384615,0.8939393939393939,0.8939393939393939,0.25,0.22596153846153846,0.5,0.875,0.8818181818181818,0.23809523809523808,0.7942307692307692,0.825,0.03076923076923077,0.5512820512820513,0.016666666666666607,0.675,0.48484848484848486,
PACT_no_checker,0.23076923076923078,0.0,0.0,0.06153846153846154,0.019230769230769232,0.5,0.475,0.08636363636363636,0.057971014492753624,0.5826923076923077,0.5826923076923077,0.015384615384615385,0.02564102564102564,0.011111111111111072,0.475,0.5454545454545454,
PACT_no_compiler,0.23076923076923078,0.7651515151515151,0.7651515151515151,0.06153846153846154,0.019230769230769232,0.5,0.775,0.75,0.057971014492753624,0.8403846153846154,0.8634615384615385,0.015384615384615385,0.02564102564102564,0.13055555555555554,0.7,0.5454545454545454,
PACT_raw_memory,0.1346153846153846,0.20454545454545456,0.20454545454545456,0.038461538461538464,0.014423076923076924,0.5,0.6,0.3,0.05995203836930456,0.6673076923076923,0.6846153846153846,0.015384615384615385,0.01282051282051282,0.03888888888888886,0.625,0.5757575757575758,
PACT_no_conflict_resolver,0.23076923076923078,0.8712121212121212,0.8712121212121212,0.06153846153846154,0.019230769230769232,0.0,0.825,0.8590909090909091,0.05755395683453238,0.8461538461538461,0.9096153846153846,0.015384615384615385,0.02564102564102564,0.125,0.725,0.5454545454545454,
QueryOnlyClassifier,0.36538461538461536,0.0,0.0,0.07307692307692308,0.0,0.5,0.0,0.0,0.0,0.5403846153846154,0.5403846153846154,0.0,0.0,0.08055555555555549,0.55,0.5151515151515151,
ContractShufflePACT,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.038461538461538464,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
LabelPermutationSanity,0.5192307692307693,0.0,0.0,0.5076923076923077,0.5048076923076923,0.25,0.0,0.0,0.40615384615384614,0.28846153846153844,0.28846153846153844,0.5,0.5128205128205128,-0.011111111111111072,0.35,0.2727272727272727,
LLMFullHistory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
LLMRawMemoryRAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
LLMContractClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
LLMContractSelfCheck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.033333333333333326,0.6,0.5757575757575758,
