null_margin,contract_margin,broadness_alpha,selection_threshold,null_prior,intent_prior_weight,use_pairwise,objective,constraints_pass,multi_contract_strict_e2e_dev,end_to_end_success_strict,indirect_end_to_end_success_strict,naturalistic_success,wrong_contract_false_trigger_rate,false_trigger_rate_including_contract_swap,target_action_completion_rate,conflict_safe_action_accuracy
0.08,0.0,0.0,0.15,0.0,0.5,False,1.7105195416501184,False,0.6918604651162791,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.43661971830985913,0.75
0.08,0.0,0.0,0.15,0.0,0.5,True,1.3417554756336143,False,0.5872093023255814,0.6802325581395349,0.39215686274509803,0.75,0.0,0.12903225806451613,0.4225352112676056,0.625
0.08,0.0,0.0,0.15,0.0,1.0,False,1.468302737449068,False,0.5988372093023255,0.686046511627907,0.39215686274509803,0.8333333333333334,0.0,0.11827956989247312,0.43661971830985913,0.75
0.08,0.0,0.0,0.15,0.0,1.0,True,1.2217254681317387,False,0.563953488372093,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.4225352112676056,0.625
0.08,0.0,0.0,0.15,0.1,0.5,False,1.6226262447964932,False,0.6627906976744186,0.6976744186046512,0.27450980392156865,0.9166666666666666,0.0,0.010752688172043012,0.323943661971831,0.75
0.08,0.0,0.0,0.15,0.1,0.5,True,1.618949774208258,False,0.6627906976744186,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.4225352112676056,0.625
0.08,0.0,0.0,0.15,0.1,1.0,False,1.670697086036215,False,0.6627906976744186,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.43661971830985913,0.75
0.08,0.0,0.0,0.15,0.1,1.0,True,1.3417554756336143,False,0.5872093023255814,0.6802325581395349,0.39215686274509803,0.75,0.0,0.12903225806451613,0.4225352112676056,0.625
0.08,0.0,0.0,0.25,0.0,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.08,0.0,0.0,0.25,0.0,0.5,True,1.4516395643028406,False,0.6395348837209303,0.6976744186046512,0.3137254901960784,0.75,0.0,0.03225806451612903,0.3380281690140845,0.625
0.08,0.0,0.0,0.25,0.0,1.0,False,1.4174306444258122,False,0.6104651162790697,0.686046511627907,0.39215686274509803,0.8333333333333334,0.0,0.11827956989247312,0.4225352112676056,0.625
0.08,0.0,0.0,0.25,0.0,1.0,True,1.2217254681317387,False,0.563953488372093,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.4225352112676056,0.625
0.08,0.0,0.0,0.25,0.1,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.08,0.0,0.0,0.25,0.1,0.5,True,1.573920134445376,False,0.6569767441860465,0.7093023255813954,0.3137254901960784,0.9166666666666666,0.0,0.010752688172043012,0.3380281690140845,0.625
0.08,0.0,0.0,0.25,0.1,1.0,False,1.614011039524587,False,0.6686046511627907,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.4225352112676056,0.625
0.08,0.0,0.0,0.25,0.1,1.0,True,1.3417554756336143,False,0.5872093023255814,0.6802325581395349,0.39215686274509803,0.75,0.0,0.12903225806451613,0.4225352112676056,0.625
0.08,0.0,0.75,0.15,0.0,0.5,False,1.7221474486268626,False,0.7034883720930233,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.43661971830985913,0.75
0.08,0.0,0.75,0.15,0.0,0.5,True,1.5441498242207612,False,0.6511627906976745,0.7325581395348837,0.39215686274509803,0.8333333333333334,0.0,0.03225806451612903,0.4225352112676056,0.625
0.08,0.0,0.75,0.15,0.0,1.0,False,1.5265360457761499,False,0.6046511627906976,0.6918604651162791,0.39215686274509803,0.9166666666666666,0.0,0.10752688172043011,0.43661971830985913,0.75
0.08,0.0,0.75,0.15,0.0,1.0,True,1.2275394216201108,False,0.5697674418604651,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.4225352112676056,0.625
0.08,0.0,0.75,0.15,0.1,0.5,False,1.6342541517732374,False,0.6744186046511628,0.6976744186046512,0.27450980392156865,0.9166666666666666,0.0,0.010752688172043012,0.323943661971831,0.75
0.08,0.0,0.75,0.15,0.1,0.5,True,1.6480195416501184,False,0.6918604651162791,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.4225352112676056,0.625
0.08,0.0,0.75,0.15,0.1,1.0,False,1.6823249930129591,False,0.6744186046511628,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.43661971830985913,0.75
0.08,0.0,0.75,0.15,0.1,1.0,True,1.3475694291219864,False,0.5930232558139535,0.6802325581395349,0.39215686274509803,0.75,0.0,0.12903225806451613,0.4225352112676056,0.625
0.08,0.0,0.75,0.25,0.0,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.08,0.0,0.75,0.25,0.0,0.5,True,1.5273147330950385,False,0.6627906976744186,0.7034883720930233,0.3137254901960784,0.8333333333333334,0.0,0.021505376344086023,0.3380281690140845,0.625
0.08,0.0,0.75,0.25,0.0,1.0,False,1.6430808069664475,False,0.6976744186046512,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.4225352112676056,0.625
0.08,0.0,0.75,0.25,0.0,1.0,True,1.2275394216201108,False,0.5697674418604651,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.4225352112676056,0.625
